FID,API,API10,CompanyNam,County,Latitude,Longitude,Owner,OwnerName2,PermitDate,Township,WellName,WellNumber,WellStatus,meta_sourc,AltName_20,CompanyN_1,Vol_InDist,Vol_OutDis,AltName_21,CompanyN_2,Vol_InDi_1,Vol_OutD_1,AltName_22,CompanyN_3,Vol_InDi_2,Vol_OutD_2,AltName_23,CompanyN_4,Vol_InDi_3,Vol_OutD_3,AltName_24,CompanyN_5,Vol_InDi_4,Vol_OutD_4,AltName_25,CompanyN_6,Vol_InDi_5,Vol_OutD_5,AltName_26,CompanyN_7,Vol_InDi_6,Vol_OutD_6,AltName_27,CompanyN_8,Vol_InDi_7,Vol_OutD_7,AltName_28,CompanyN_9,Vol_InDi_8,Vol_OutD_8,AltName_29,Company_10,Vol_InDi_9,Vol_OutD_9,AltName_30,Company_11,Vol_InD_10,Vol_Out_10,AltName_31,Company_12,Vol_InD_11,Vol_Out_11,AltName_32,Company_13,Vol_InD_12,Vol_Out_12,AltName_33,Company_14,Vol_InD_13,Vol_Out_13,AltName_34,Company_15,Vol_InD_14,Vol_Out_14,AltName_35,Company_16,Vol_InD_15,Vol_Out_15,AltName_36,Company_17,Vol_InD_16,Vol_Out_16,AltName_37,Company_18,Vol_InD_17,Vol_Out_17,AltName_38,Company_19,Vol_InD_18,Vol_Out_18,AltName_39,Company_20,Vol_InD_19,Vol_Out_19,AltName_40,Company_21,Vol_InD_20,Vol_Out_20,AltName_41,Company_22,Vol_InD_21,Vol_Out_21,AltName_42,Company_23,Vol_InD_22,Vol_Out_22,AltName_43,Company_24,Vol_InD_23,Vol_Out_23,AltName_44,Company_25,Vol_InD_24,Vol_Out_24,AltName_45,Company_26,Vol_InD_25,Vol_Out_25,AltName_46,Company_27,Vol_InD_26,Vol_Out_26,AltName_47,Company_28,Vol_InD_27,Vol_Out_27,AltName_48,Company_29,Vol_InD_28,Vol_Out_28,AltName_49,Company_30,Vol_InD_29,Vol_Out_29,AltName_50,Company_31,Vol_InD_30,Vol_Out_30,AltName_51,Company_32,Vol_InD_31,Vol_Out_31,AltName_52,Company_33,Vol_InD_32,Vol_Out_32,AltName_53,Company_34,Vol_InD_33,Vol_Out_33,AltName_54,Company_35,Vol_InD_34,Vol_Out_34,AltName_55,Company_36,Vol_InD_35,Vol_Out_35,AltName_56,Company_37,Vol_InD_36,Vol_Out_36,AltName_57,Company_38,Vol_InD_37,Vol_Out_37,Total_In,Total_Out,Total
0,34100000000000,3405320974,"Pillar Energy, LLC",GALLIA,38.69841331,-82.42866613,PILLAR ENERGY LLC,.,.,WALNUT,WHEALDON H(SWIW #2)     2 ARD 116,.,AI,SWD-july2018,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,"EnerVest Operating, LLC/Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,.,"Pillar Energy, LLC",0,0,0,0,0
1,34100000000000,3405320968,Huffman-Bowers Inc.,GALLIA,38.91412069,-82.15502281,HUFFMAN-BOWERS INC,.,.,ADDISON,R.O.J. {SWIW#1}     1-A,.,AI,SWD-july2018,.,Huffman-Bowers Inc.,231,14860,.,Huffman-Bowers Inc.,1241,7865,.,Huffman-Bowers Inc.,1214,10685,.,Huffman-Bowers Inc.,3220,11260,.,Huffman-Bowers Inc.,1010,30921,.,Huffman-Bowers Inc.,5160,30998,.,Huffman-Bowers Inc.,5105,36568,.,Huffman-Bowers Inc.,3081,18387,.,Huffman-Bowers Inc.,700,16439,.,Huffman-Bowers Inc.,11200,16278,.,Huffman-Bowers Inc.,1190,1070,.,Huffman-Bowers Inc.,2355,2786,.,Huffman-Bowers Inc.,370,320,.,Huffman-Bowers Inc.,100,0,.,Huffman-Bowers Inc.,0,0,.,Huffman-Bowers Inc.,0,6127,.,Huffman-Bowers Inc.,705,56679,.,Huffman-Bowers Inc.,1730,66048,.,Huffman-Bowers Inc.,640,71299,.,Huffman-Bowers Inc.,0,82920,.,Huffman-Bowers Inc.,340,21645,.,Huffman-Bowers Inc.,0,0,.,Huffman-Bowers Inc.,790,0,.,Huffman-Bowers Inc.,745,0,.,Huffman-Bowers Inc.,845,1092,.,Huffman-Bowers Inc.,1079,185,.,Huffman-Bowers Inc.,508,60,.,Huffman-Bowers Inc.,595,75,.,Huffman-Bowers Inc.,800,87053,.,Huffman-Bowers Inc.,860,103205,.,Huffman-Bowers Inc.,75,55683,.,Huffman-Bowers Inc.,625,89600,.,Huffman-Bowers Inc.,701,91196,.,Huffman-Bowers Inc.,550,100313,.,Huffman-Bowers Inc.,1000,27792,.,Huffman-Bowers Inc.,495,0,.,Huffman-Bowers Inc.,0,0,.,Huffman-Bowers Inc.,0,0,51280,1121251,1172531
2,34100000000000,3410523652,Roscoe Mills Injection Well,MEIGS,38.93300029,-81.78849608,ROSCOE MILLS JR TRUST,.,.,LEBANON,MILLS ROSCOE (SWIW #21)     2,.,AI,SWD-july2018,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,Roscoe Mills Injection Well,7451,144467,"FQ Energy Services, LLC",Roscoe Mills Injection Well,568,60170,.,Roscoe Mills Injection Well,1881,101801,"FQ Energy Services, LLC",Roscoe Mills Injection Well,1837,121490,"FQ Energy Services, LLC",Roscoe Mills Injection Well,1552,128468,"FQ Energy Services, LLC",Roscoe Mills Injection Well,1570,81552,"FQ Energy Services, LLC",Roscoe Mills Injection Well,1152,171479,"FQ Energy Services, LLC",Roscoe Mills Injection Well,840,161156,.,Roscoe Mills Injection Well,15349,88567,.,Roscoe Mills Injection Well,1364,119052,.,Roscoe Mills Injection Well,6092,86112,.,Roscoe Mills Injection Well,10366,133187,.,Roscoe Mills Injection Well,1905,57050,.,Roscoe Mills Injection Well,2549,11398,.,Roscoe Mills Injection Well,0,0,.,Roscoe Mills Injection Well,0,0,54476,1465949,1520425
3,34100000000000,3410523619,Roscoe Mills Injection Well,MEIGS,38.94060306,-81.78756152,ROSCOE MILLS JR TRUST,.,.,LEBANON,ROSCOE MILLS (SWIW #19)     1,.,AI,SWD-july2018,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,Roscoe Mills,2119,3540,.,Roscoe Mills Injection Well,6435,13195,.,Roscoe Mills Injection Well,5650,27149,.,Roscoe Mills injection well,1370,1360,.,Roscoe Mills Injection Well,1200,0,.,Roscoe Mills Injection Well,690,29030,.,Roscoe Mills Injection Well,2995,44447,GreenHunter Water,Roscoe Mills Injection Well,14073,150550,Green Hunter Water,Roscoe Mills Injection Well,65841,145833,Green Hunter Water,Roscoe Mills Injection Well,53195,159258,GreenHunter Water,Roscoe Mills Injection Well,18223,220662,.,Roscoe Mills Injection Well,11451,303930,GREENHUNTER WATER,Roscoe Mills Injection Well,18813,289844,Green Hunter Water,Roscoe Mills Injection Well,4968,279160,GreenHunter Water,Roscoe Mills Injection Well,3110,378064,.,Roscoe Mills Injection Well,15107,375794,GREENHUNTER WATER,Roscoe Mills Injection Well,24772,302633,.,Roscoe Mills Injection Well,8997,174430,"FQ Energy Services, LLC",Roscoe Mills Injection Well,738,78150,.,Roscoe Mills Injection Well,2120,114739,"FQ Energy Services, LLC",Roscoe Mills Injection Well,1747,115560,"FQ Energy Services, LLC",Roscoe Mills Injection Well,1755,145284,"FQ Energy Services, LLC",Roscoe Mills Injection Well,1661,86297,"FQ Energy Services, LLC",Roscoe Mills Injection Well,1037,154325,"FQ Energy Services, LLC",Roscoe Mills Injection Well,888,170396,.,Roscoe Mills Injection Well,16322,94178,.,Roscoe Mills Injection Well,1693,147786,.,Roscoe Mills Injection Well,12201,172462,.,Roscoe Mills Injection Well,11047,141935,.,Roscoe Mills Injection Well,50575,1689,.,Roscoe Mills Injection Well,545,2436,.,Roscoe Mills Injection Well,0,0,.,Roscoe Mills Injection Well,0,0,361338,4324116,4685454
4,34100000000000,3410523651,Murphy Oil Company,MEIGS,38.9647213,-81.78568942,FQ ENERGY SERVICES LLC,.,.,LEBANON,MCKELVEY M. ( SWIW #23)     3,.,AI,SWD-july2018,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,Murphy Oil Company,0,0,.,.,0,0,.,Murphy Oil Company,1931,37436,"FQ Energy Services, LLC",Murphy Oil Company,11,1119,"FQ Energy Services, LLC",Murphy Oil Company,19,1006,"FQ Energy Services, LLC",Murphy Oil Company,149,9881,"FQ Energy Services, LLC",Murphy Oil Company,633,52349,"FQ Energy Services, LLC",Murphy Oil Company,264,13733,"FQ Energy Services, LLC",Murphy Oil Company,321,47814,"FQ Energy Services, LLC",Murphy Oil Company,706,135477,.,Murphy Oil Company,6217,35872,.,Murphy Oil Company,1283,112005,.,Murphy Oil Company,4322,61086,.,Murphy Oil Company,14670,188480,.,Murphy Oil Company,1566,46898,.,Murphy Oil Company,432,1931,.,Murphy Oil Company,0,0,.,Murphy Oil Company,0,0,32524,745087,777611
5,34100000000000,3410523637,Roscoe Mills Injection Well,MEIGS,38.96981922,-81.78597896,ROSCOE MILLS JR TRUST,.,.,LEBANON,HARRIS C & W (SWIW #22)     1,.,AI,SWD-july2018,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,Roscoe Mills Injection Well,1485,28809,"FQ Energy Services, LLC",Roscoe Mills Injection Well,11,1212,.,Roscoe Mills Injection Well,29,1581,"FQ Energy Services, LLC",Roscoe Mills Injection Well,225,14895,"FQ Energy Services, LLC",Roscoe Mills Injection Well,515,42617,"FQ Energy Services, LLC",Roscoe Mills Injection Well,182,9434,"FQ Energy Services, LLC",Roscoe Mills Injection Well,286,42494,"FQ Energy Services, LLC",Roscoe Mills Injection Well,637,122289,.,Roscoe Mills Injection Well,4601,26546,.,Roscoe Mills Injection Well,1346,117456,.,Roscoe Mills Injection Well,10946,154724,.,Roscoe Mills Injection Well,11639,149539,.,Roscoe Mills Injection Well,1505,45062,.,Roscoe Mills Injection Well,365,1631,.,Roscoe Mills Injection Well,0,0,.,Roscoe Mills Injection Well,0,0,33772,758289,792061
6,34100000000000,3410523473,"Progressive Oil & Gas, Inc.",MEIGS,39.01690306,-81.98707294,PROGRESSIVE OIL & GAS,.,.,SUTTON,GOLDBERG/WESTEN {SWIW#13}     3,.,AI,SWD-july2018,.,"Progressive Oil & Gas, Inc.",464,0,.,"Progressive Oil & Gas, Inc.",124,0,.,"Progressive Oil & Gas, Inc.",316,0,.,"Progressive Oil & Gas, Inc.",364,0,.,"Progressive Oil & Gas, Inc.",368,0,.,"Progressive Oil & Gas, Inc.",368,0,.,"Progressive Oil & Gas, Inc.",132,0,.,"Progressive Oil & Gas, Inc.",364,0,.,"Progressive Oil & Gas, Inc.",368,0,.,"Progressive Oil & Gas, Inc.",368,0,.,"Progressive Oil & Gas, Inc.",360,0,.,"Progressive Oil & Gas, Inc.",312,0,.,"Progressive Oil & Gas, Inc.",368,0,.,"Progressive Oil & Gas, Inc.",378,0,.,"Progressive Oil & Gas, Inc.",360,0,.,"Progressive Oil & Gas, Inc.",318,0,.,"Progressive Oil & Gas, Inc.",376,0,.,"Progressive Oil & Gas, Inc.",376,0,.,"Progressive Oil & Gas, Inc.",455,0,.,"Progressive Oil & Gas, Inc.",352,0,.,"Progressive Oil & Gas, Inc.",292,0,.,"Progressive Oil & Gas, Inc.",356,0,.,"Progressive Oil & Gas, Inc.",352,0,.,"Progressive Oil & Gas, Inc.",352,0,.,"Progressive Oil & Gas, Inc.",276,0,.,"Progressive Oil & Gas, Inc.",276,0,.,"Progressive Oil & Gas, Inc.",352,0,.,"Progressive Oil & Gas, Inc.",348,0,.,"Progressive Oil & Gas, Inc.",348,0,.,"Progressive Oil & Gas, Inc.",348,0,.,"Progressive Oil & Gas, Inc.",354,0,.,"Progressive Oil & Gas, Inc.",485,0,.,"Progressive Oil & Gas, Inc.",493,0,.,"Progressive Oil & Gas, Inc.",490,0,.,"Progressive Oil & Gas, Inc.",354,0,.,"Progressive Oil & Gas, Inc.",320,0,.,"Progressive Oil & Gas, Inc.",0,0,.,"Progressive Oil & Gas, Inc.",0,0,13423,0,13423
7,34100000000000,3410522739,JD Drilling Company,MEIGS,39.01962905,-82.08507909,J D DRILLING CO,.,.,SALISBURY,EDITH FORREST {SWIW#3}     4,.,AI,SWD-july2018,.,JD Drilling Company,260,0,.,JD Drilling Company,780,0,.,JD Drilling Company,780,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,780,0,.,JD Drilling Company,780,0,.,JD Drilling Company,520,0,.,JD Drilling Company,520,0,.,JD Drilling Company,780,0,.,JD Drilling Company,780,0,.,JD Drilling Company,520,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,780,0,.,JD Drilling Company,780,0,.,JD Drilling Company,23920,0,.,JD Drilling Company,23920,0,.,JD Drilling Company,14040,0,.,JD Drilling Company,0,0,.,JD Drilling Company,200,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,70140,0,70140
8,34100000000000,3410523433,American Natural Gas Inc.,MEIGS,39.02293032,-82.06436239,AMERICAN NATURAL GAS INC,.,.,SALISBURY,JAYMAR(SWIW#10)     2-D,.,AI,SWD-july2018,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,15076,0,.,American Natural Gas Inc.,16532,0,.,American Natural Gas Inc.,19032,0,.,American Natural Gas Inc.,18364,0,.,American Natural Gas Inc.,17519,0,.,American Natural Gas Inc.,18366,0,.,American Natural Gas Inc.,17669,0,.,American Natural Gas Inc.,17906,0,.,American Natural Gas Inc.,19467,0,.,American Natural Gas Inc.,19773,0,.,American Natural Gas Inc.,19160,0,.,American Natural Gas Inc.,18553,0,.,American Natural Gas Inc.,15151,0,.,American Natural Gas Inc.,14645,0,.,American Natural Gas Inc.,19894,0,.,American Natural Gas Inc.,19442,0,.,American Natural Gas Inc.,17828,0,.,American Natural Gas Inc.,18772,0,.,American Natural Gas Inc.,0,0,.,American Natural Gas Inc.,0,0,323149,0,323149
9,34100000000000,3410523185,JD Drilling Company,MEIGS,39.04082389,-82.08449658,J D DRILLING CO,.,.,SALISBURY,HAROLD & PENNY BRINKER {SWIW#5}     2,.,AI,SWD-july2018,.,JD Drilling Company,160,0,.,JD Drilling Company,480,0,.,JD Drilling Company,640,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,320,0,.,JD Drilling Company,320,0,.,JD Drilling Company,213,0,.,JD Drilling Company,213,0,.,JD Drilling Company,360,0,.,JD Drilling Company,40,0,.,JD Drilling Company,213,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,40,0,.,JD Drilling Company,40,0,.,JD Drilling Company,27600,0,.,JD Drilling Company,27600,0,.,JD Drilling Company,2160,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,13500,0,.,JD Drilling Company,13650,0,.,JD Drilling Company,13800,0,.,JD Drilling Company,13800,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,1554,.,JD Drilling Company,0,61590,.,JD Drilling Company,0,25807,.,JD Drilling Company,0,95133,.,JD Drilling Company,0,40634,.,JD Drilling Company,0,87457,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,.,JD Drilling Company,0,0,115149,312175,427324
